2025-02-21 03:40:36,037 - INFO - 有效頻道: #EXTINF:-1 tvg-id="" tvg-logo="" group-title="Undefined",立法院IVOD直播教育及文化委員會 (450p)
2025-02-21 03:40:36,050 - INFO - 有效頻道: #EXTINF:-1 tvg-id="" tvg-logo="" group-title="Undefined",立法院IVOD直播經濟委員會 (450p)
2025-02-21 03:40:36,115 - WARNING - 無效頻道: #EXTINF:-1 tvg-id="BloombergTVAsiaLiveEvent.hk" tvg-logo="https://i.imgur.com/OuogLHx.png" group-title="Business",Bloomberg TV Asia Live Event (720p)
2025-02-21 03:40:36,297 - WARNING - 無效頻道: #EXTINF:-1 tvg-id="BloombergTVAsia.hk" tvg-logo="https://i.imgur.com/OuogLHx.png" group-title="Business",Bloomberg TV Asia (720p)
2025-02-21 03:40:36,429 - INFO - 有效頻道: #EXTINF:-1 tvg-id="CTiNews.tw" tvg-logo="https://i.imgur.com/fEUmRST.png" group-title="News",中天新聞台 (1080p)
2025-02-21 03:40:36,450 - INFO - 有效頻道: #EXTINF:-1 tvg-id="CGNTVChinese.tw" tvg-logo="https://i.imgur.com/bPoPAbR.png" group-title="Religious",CGNTV Chinese (1080p)
2025-02-21 03:40:36,529 - INFO - 有效頻道: #EXTINF:-1 tvg-id="" tvg-logo="" group-title="Undefined",立法院IVOD直播財政委員會 (450p)
2025-02-21 03:40:36,538 - INFO - 有效頻道: #EXTINF:-1 tvg-id="" tvg-logo="" group-title="Undefined",立法院IVOD直播院會 (450p)
2025-02-21 03:40:36,749 - WARNING - 無效頻道: #EXTINF:-1 tvg-id="CTSNews.tw" tvg-logo="https://i.imgur.com/V1EVtRm.png" group-title="News",CTS News (華視新聞資訊) [Geo-blocked]
2025-02-21 03:40:36,919 - INFO - 有效頻道: #EXTINF:-1 tvg-id="BeautifulLifeTV.tw" tvg-logo="https://i.imgur.com/hkwcBM9.png" group-title="Religious",Beautiful Life TV
2025-02-21 03:40:36,943 - INFO - 有效頻道: #EXTINF:-1 tvg-id="ETMall60.tw" tvg-logo="https://i.imgur.com/jkOgbLw.png" group-title="Shop",東森購物60 (480p)
2025-02-21 03:40:36,964 - WARNING - 無效頻道: #EXTINF:-1 tvg-id="EBCNews.tw" tvg-logo="https://i.imgur.com/QFZs80p.png" group-title="News",EBC News (東森新聞台) (1080p) [Not 24/7]
2025-02-21 03:40:36,964 - WARNING - 無效頻道: #EXTINF:-1 tvg-id="EBCFinancialNews.tw" tvg-logo="https://i.imgur.com/uFDkOhV.png" group-title="News",EBC Financial News (東森財經新聞台) (1080p) [Not 24/7]
2025-02-21 03:40:37,216 - INFO - 有效頻道: #EXTINF:-1 tvg-id="DaAi1.tw" tvg-logo="https://i.imgur.com/KdJi9af.png" group-title="General",DaAi1 (大愛1) (720p)
2025-02-21 03:40:37,241 - INFO - 有效頻道: #EXTINF:-1 tvg-id="DaAi2.tw" tvg-logo="https://i.imgur.com/KdJi9af.png" group-title="General",DaAi2 (大愛2) (720p)
2025-02-21 03:40:37,508 - INFO - 有效頻道: #EXTINF:-1 tvg-id="EWTNAfricaAsia.us" tvg-logo="https://i.imgur.com/F8ZM25a.png" group-title="Religious",EWTN Africa Asia (720p)
2025-02-21 03:40:37,597 - INFO - 有效頻道: #EXTINF:-1 tvg-id="EWTNAsiaPacific.us" tvg-logo="https://upload.wikimedia.org/wikipedia/en/thumb/c/c8/EWTN_Logo_and_Wordmark_%282016%29.svg/512px-EWTN_Logo_and_Wordmark_%282016%29.svg.png" group-title="Religious",EWTN Asia-Pacific (720p) [Not 24/7]
2025-02-21 03:40:37,675 - WARNING - 無效頻道: #EXTINF:-1 tvg-id="FTVOne.tw" tvg-logo="https://i.imgur.com/HBT2o0I.png" group-title="General",FTV One (民視第一台) (720p) [Not 24/7]
2025-02-21 03:40:37,675 - WARNING - 無效頻道: #EXTINF:-1 tvg-id="FTV.tw" tvg-logo="https://i.imgur.com/q8ahtbT.png" group-title="General",FTV (民視) (720p) [Not 24/7]
2025-02-21 03:40:37,681 - INFO - 有效頻道: #EXTINF:-1 tvg-id="GlobalNews.tw" tvg-logo="https://i.imgur.com/Q1Mrvjj.png" group-title="News",Global News (1080p)
2025-02-21 03:40:37,691 - INFO - 有效頻道: #EXTINF:-1 tvg-id="DaliTV.tw" tvg-logo="https://i.imgur.com/pFIMLsA.png" group-title="General",Dali TV (大立電視台) (720p)
2025-02-21 03:40:37,745 - INFO - 有效頻道: #EXTINF:-1 tvg-id="GeniusGoGoGo.tw" tvg-logo="https://i.imgur.com/GGdnGqH.png" group-title="Entertainment",天才衝衝衝 (1080p)
2025-02-21 03:40:37,786 - INFO - 有效頻道: #EXTINF:-1 tvg-id="BBCNewsAsiaPacific.uk" tvg-logo="https://i.imgur.com/vSz2WEp.png" group-title="News",BBC News Asia Pacific (720p)
2025-02-21 03:40:37,822 - WARNING - 無效頻道: #EXTINF:-1 tvg-id="CNBCAsia.sg" tvg-logo="https://i.imgur.com/Mn8Rsup.png" group-title="Business",CNBC Asia HD (720p) [Geo-blocked]
2025-02-21 03:40:37,955 - WARNING - 無效頻道: #EXTINF:-1 tvg-id="IndigenousTV.tw" tvg-logo="https://i.imgur.com/vmk4F9u.png" group-title="Culture",Indigenous TV (720p)
2025-02-21 03:40:38,316 - WARNING - 無效頻道: #EXTINF:-1 tvg-id="SETNews.tw" tvg-logo="https://i.imgur.com/EGVbAvJ.png" group-title="News",SET News (三立新聞) (1080p) [Geo-blocked]
2025-02-21 03:40:38,443 - INFO - 有效頻道: #EXTINF:-1 tvg-id="SupremeMasterTV.tw" tvg-logo="https://i.imgur.com/kFMHayP.png" group-title="Undefined",Supreme Master TV (720p)
2025-02-21 03:40:38,491 - INFO - 有效頻道: #EXTINF:-1 tvg-id="TVBSAsia.tw" tvg-logo="https://i.imgur.com/4S1rkhm.png" group-title="Entertainment",TVBS Asia (1080p)
2025-02-21 03:40:38,574 - WARNING - 無效頻道: #EXTINF:-1 tvg-id="TV5MondePacific.fr" tvg-logo="https://i.imgur.com/mfZOYZI.png" group-title="Undefined",TV5Monde Pacifique (1080p) [Geo-blocked]
2025-02-21 03:40:38,602 - WARNING - 無效頻道: #EXTINF:-1 tvg-id="RTRPlanetaAsia.ru" tvg-logo="https://i.imgur.com/DTtK0z7.png" group-title="General",РТР Планета Азия
2025-02-21 03:40:38,616 - INFO - 有效頻道: #EXTINF:-1 tvg-id="GoodTV.tw" tvg-logo="https://i.imgur.com/k28Kc3o.png" group-title="Religious",GOOD TV CH1 綜合台 (720p) [Not 24/7]
2025-02-21 03:40:38,664 - WARNING - 無效頻道: #EXTINF:-1 tvg-id="TVBSNews.tw" tvg-logo="https://i.imgur.com/171lwfg.png" group-title="News",TVBS News (TVBS新聞台) [Geo-blocked]
2025-02-21 03:40:38,734 - INFO - 有效頻道: #EXTINF:-1 tvg-id="Good2.tw" tvg-logo="https://i.imgur.com/YxFRoft.png" group-title="Religious",GOOD TV CH2 真理台 (720p)
2025-02-21 03:40:38,785 - WARNING - 無效頻道: #EXTINF:-1 tvg-id="免费订阅" tvg-name="免费订阅" tvg-logo="https://epg.iill.top/logo/温馨提示.png" group-title="•温馨「提示」",维护时间：2025-1-15#佛系维护...
